client_type,gender,country,region,acquisition_purpose,satisfaction_score,loan_applied,referral_channel,age,cluster,segment
1,0,9,8,0,0.6870888628228828,1,2,0.20534193252369962,1,First-Time Buyers
1,1,9,8,0,-1.4357397555794327,0,2,0.027556709559457698,1,First-Time Buyers
1,1,9,8,0,0.6870888628228828,1,0,1.0053754358627882,1,First-Time Buyers
1,1,9,8,0,1.3946984022903213,0,2,0.027556709559457698,1,First-Time Buyers
0,1,9,8,1,1.3946984022903213,0,2,0.027556709559457698,1,First-Time Buyers
1,1,9,8,0,-0.020520676644555657,1,2,1.18316065882703,1,First-Time Buyers
1,1,2,40,1,1.3946984022903213,0,2,0.027556709559457698,3,Luxury Investors
1,0,9,8,0,1.3946984022903213,0,2,0.027556709559457698,1,First-Time Buyers
1,1,9,8,1,1.3946984022903213,0,0,-0.41690634785114705,1,First-Time Buyers
1,1,9,37,1,-0.020520676644555657,0,0,0.027556709559457698,3,Luxury Investors
1,0,9,8,0,-0.7281302161119941,1,2,0.027556709559457698,1,First-Time Buyers
0,1,9,8,1,1.3946984022903213,0,2,0.027556709559457698,1,First-Time Buyers
1,1,9,8,0,-1.4357397555794327,1,2,0.7386976014164254,1,First-Time Buyers
0,1,9,8,0,-0.020520676644555657,1,2,-0.8613694052617519,1,First-Time Buyers
1,0,9,8,0,1.3946984022903213,0,1,0.027556709559457698,1,First-Time Buyers
1,0,9,8,1,1.3946984022903213,0,2,2.7832276655052075,1,First-Time Buyers
1,1,9,1,0,-0.020520676644555657,0,1,-0.594691570815389,1,First-Time Buyers
1,1,9,8,0,-0.7281302161119941,1,0,0.29423454400582055,1,First-Time Buyers
1,1,9,8,0,1.3946984022903213,1,1,1.18316065882703,1,First-Time Buyers
1,0,9,8,0,1.3946984022903213,0,2,0.027556709559457698,1,First-Time Buyers
1,1,9,37,1,-0.020520676644555657,0,2,2.8721202769873284,3,Luxury Investors
1,1,5,4,1,1.3946984022903213,0,0,0.027556709559457698,1,First-Time Buyers
1,1,9,8,0,-0.020520676644555657,1,2,1.0942680473449091,1,First-Time Buyers
1,1,9,8,1,0.6870888628228828,0,2,0.6498049899343044,1,First-Time Buyers
1,1,9,25,0,-0.7281302161119941,1,2,0.027556709559457698,0,Global Investors
1,1,9,8,1,1.3946984022903213,0,2,0.027556709559457698,1,First-Time Buyers
1,1,9,8,0,1.3946984022903213,1,2,0.20534193252369962,1,First-Time Buyers
1,0,9,8,0,-0.020520676644555657,0,1,0.027556709559457698,1,First-Time Buyers
1,0,9,11,0,0.6870888628228828,1,0,0.027556709559457698,1,First-Time Buyers
1,0,9,25,0,-0.020520676644555657,0,2,0.027556709559457698,0,Global Investors
1,1,9,25,0,0.6870888628228828,1,2,0.027556709559457698,0,Global Investors
1,1,9,8,0,0.6870888628228828,0,2,0.3831271554879415,1,First-Time Buyers
1,0,9,8,0,-0.020520676644555657,1,2,0.027556709559457698,1,First-Time Buyers
1,0,1,7,0,-0.7281302161119941,0,0,0.027556709559457698,1,First-Time Buyers
1,1,6,23,0,-0.020520676644555657,0,0,0.4720197669700625,0,Global Investors
1,1,9,8,0,0.6870888628228828,0,2,-0.23912112488690518,1,First-Time Buyers
1,0,9,8,0,1.3946984022903213,1,2,0.027556709559457698,1,First-Time Buyers
1,0,9,8,1,0.6870888628228828,0,1,0.027556709559457698,1,First-Time Buyers
1,0,7,21,0,-1.4357397555794327,0,0,0.027556709559457698,0,Global Investors
1,1,9,25,0,1.3946984022903213,0,2,0.027556709559457698,0,Global Investors
1,1,9,1,0,-1.4357397555794327,1,2,0.027556709559457698,1,First-Time Buyers
1,0,9,48,0,-1.4357397555794327,1,2,-0.41690634785114705,2,Corporate Buyers
1,1,9,25,1,-0.020520676644555657,1,2,0.4720197669700625,0,Global Investors
1,0,9,1,0,-0.020520676644555657,0,2,0.027556709559457698,1,First-Time Buyers
1,1,9,11,1,-0.7281302161119941,0,0,0.20534193252369962,1,First-Time Buyers
1,0,9,8,0,1.3946984022903213,0,1,0.027556709559457698,1,First-Time Buyers
1,1,9,11,0,-0.7281302161119941,0,0,0.027556709559457698,1,First-Time Buyers
1,1,9,8,0,-0.020520676644555657,1,0,0.027556709559457698,1,First-Time Buyers
1,0,9,8,0,-1.4357397555794327,0,2,0.027556709559457698,1,First-Time Buyers
1,1,9,8,0,1.3946984022903213,0,2,2.694335054023086,1,First-Time Buyers
1,0,9,11,0,-0.020520676644555657,0,0,2.6054424425409652,1,First-Time Buyers
1,0,9,37,1,-0.7281302161119941,0,1,0.29423454400582055,3,Luxury Investors
1,1,9,1,0,0.6870888628228828,0,0,1.449838493273393,1,First-Time Buyers
0,1,9,25,1,1.3946984022903213,0,2,0.027556709559457698,0,Global Investors
1,0,9,8,0,1.3946984022903213,1,0,-0.23912112488690518,1,First-Time Buyers
1,1,9,37,1,1.3946984022903213,0,0,0.5609123784521834,3,Luxury Investors
1,1,9,8,0,0.6870888628228828,1,0,3.316583334397933,1,First-Time Buyers
0,0,9,8,1,-1.4357397555794327,1,2,0.11644932104157865,1,First-Time Buyers
1,1,9,8,0,-0.7281302161119941,0,2,0.027556709559457698,1,First-Time Buyers
1,0,9,8,0,1.3946984022903213,0,2,-0.15022851340478421,1,First-Time Buyers
1,1,9,48,0,1.3946984022903213,0,0,0.29423454400582055,2,Corporate Buyers
1,1,9,8,0,1.3946984022903213,1,1,0.027556709559457698,1,First-Time Buyers
1,0,9,1,0,0.6870888628228828,0,2,0.027556709559457698,1,First-Time Buyers
1,1,8,31,1,0.6870888628228828,0,0,-0.32801373636902614,0,Global Investors
1,1,9,8,0,-1.4357397555794327,0,0,0.027556709559457698,1,First-Time Buyers
1,0,9,8,1,-0.020520676644555657,0,1,0.027556709559457698,1,First-Time Buyers
1,1,9,8,0,-0.7281302161119941,0,2,-0.594691570815389,1,First-Time Buyers
1,0,9,11,0,1.3946984022903213,1,0,0.027556709559457698,1,First-Time Buyers
1,1,9,8,1,0.6870888628228828,0,2,0.027556709559457698,1,First-Time Buyers
1,0,9,1,0,0.6870888628228828,1,2,0.027556709559457698,1,First-Time Buyers
1,1,9,8,0,-1.4357397555794327,1,1,0.027556709559457698,1,First-Time Buyers
1,1,9,25,1,-0.7281302161119941,0,2,1.538731104755514,0,Global Investors
1,0,3,9,1,-1.4357397555794327,0,0,0.4720197669700625,1,First-Time Buyers
1,0,9,37,1,1.3946984022903213,0,1,1.0053754358627882,3,Luxury Investors
1,0,9,8,0,-0.020520676644555657,0,2,0.027556709559457698,1,First-Time Buyers
1,1,9,8,0,1.3946984022903213,0,0,0.027556709559457698,1,First-Time Buyers
1,1,9,8,0,1.3946984022903213,0,2,0.027556709559457698,1,First-Time Buyers
1,0,9,8,0,1.3946984022903213,0,2,0.027556709559457698,1,First-Time Buyers
1,1,1,7,1,0.6870888628228828,0,2,0.027556709559457698,1,First-Time Buyers
1,0,9,8,1,-0.020520676644555657,0,2,0.027556709559457698,1,First-Time Buyers
1,0,9,8,0,0.6870888628228828,1,2,0.027556709559457698,1,First-Time Buyers
1,0,9,50,1,1.3946984022903213,0,1,0.027556709559457698,2,Corporate Buyers
1,1,9,8,0,1.3946984022903213,0,2,0.027556709559457698,1,First-Time Buyers
1,1,9,55,0,-0.020520676644555657,0,0,0.027556709559457698,2,Corporate Buyers
1,1,9,8,0,0.6870888628228828,1,0,0.027556709559457698,1,First-Time Buyers
1,0,9,8,0,-0.020520676644555657,1,2,0.027556709559457698,1,First-Time Buyers
1,0,9,8,0,0.6870888628228828,0,0,0.027556709559457698,1,First-Time Buyers
1,1,9,37,1,-0.7281302161119941,0,2,0.027556709559457698,3,Luxury Investors
1,1,9,8,0,-0.020520676644555657,0,0,0.027556709559457698,1,First-Time Buyers
1,1,9,8,0,1.3946984022903213,0,1,0.027556709559457698,1,First-Time Buyers
1,0,9,8,0,0.6870888628228828,0,2,0.027556709559457698,1,First-Time Buyers
1,1,9,20,0,-0.020520676644555657,0,2,0.027556709559457698,0,Global Investors
1,1,9,8,0,-0.7281302161119941,0,0,0.7386976014164254,1,First-Time Buyers
1,0,9,8,0,1.3946984022903213,0,2,0.027556709559457698,1,First-Time Buyers
1,1,9,8,0,-0.020520676644555657,1,0,0.027556709559457698,1,First-Time Buyers
